ORGKEY|CIFID|STRTEXT2|STRTEXT1|TYPE|CUSTOMERCURRENCY|CREDITDISCOUNTPERCENT|DEBITDISCOUNTPERCENT|WITHHOLDTAXPCNT|WITHHOLDTAXFLOORLMT|DTDATE1|DTDATE2|COUNTRYOFISSUE_CODE|SMALL_STR1|SMALL_STR2|SMALL_STR3|SMALL_STR4|SMALL_STR5|SMALL_STR6|SMALL_STR7|SMALL_STR8|SMALL_STR9|SMALL_STR10|MED_STR1|MED_STR2|MED_STR3|MED_STR4|MED_STR5|MED_STR6|MED_STR7|MED_STR8|MED_STR9|MED_STR10|LARGE_STR1|LARGE_STR2|LARGE_STR3|LARGE_STR4|LARGE_STR5|DATE1|DATE2|DATE3|DATE4|DATE5|DATE6|DATE7|DATE8|DATE9|DATE10|NUMBER1|NUMBER2|NUMBER3|NUMBER4|NUMBER5|NUMBER6|NUMBER7|NUMBER8|NUMBER9|NUMBER10|DECIMAL1|DECIMAL2|DECIMAL3|DECIMAL4|DECIMAL5|DECIMAL6|DECIMAL7|DECIMAL8|DECIMAL9|DECIMAL10|STRTEXT3|STRTEXT4|STRTEXT5|STRTEXT6|STRTEXT7|STRTEXT8|STRTEXT9|STRTEXT10|INTINTEGER1|INTINTEGER2|INTINTEGER3|INTINTEGER4|INTINTEGER5|INTINTEGER6|INTINTEGER7|INTINTEGER8|INTINTEGER9|INTINTEGER10|INTINTEGER11|INTINTEGER12|INTINTEGER13|INTINTEGER14|INTINTEGER15|DTDATE3|DTDATE4|DTDATE5|DBFLOAT1|DBFLOAT2|DBFLOAT3|DBFLOAT4|DBFLOAT5|STRTEXT11|STRTEXT12|STRTEXT13|STRTEXT14|STRTEXT15|STRTEXT16|STRTEXT17|STRTEXT18|STRTEXT19|STRTEXT20|STRTEXT21|STRTEXT22|STRTEXT23|STRTEXT24|STRTEXT25|STRTEXT26|STRTEXT27|EMPLOYERID|EMPLOYEEID|STRTEXT1_CODE|STRTEXT2_CODE|STRTEXT28|BANK_ID
R000103293|R000103293|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103298|R000103298|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103302|R000103302|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103304|R000103304|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103307|R000103307|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103313|R000103313|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103315|R000103315|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103320|R000103320|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103327|R000103327|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103332|R000103332|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103343|R000103343|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103345|R000103345|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103352|R000103352|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103354|R000103354|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103359|R000103359|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103366|R000103366|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103379|R000103379|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103381|R000103381|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103387|R000103387|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103395|R000103395|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103400|R000103400|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103409|R000103409|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103410|R000103410|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103417|R000103417|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103422|R000103422|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103428|R000103428|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103431|R000103431|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103436|R000103436|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103438|R000103438|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103441|R000103441|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103443|R000103443|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103446|R000103446|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103451|R000103451|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103453|R000103453|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103462|R000103462|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103464|R000103464|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103474|R000103474|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103476|R000103476|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103479|R000103479|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103487|R000103487|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103489|R000103489|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103501|R000103501|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103506|R000103506|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103512|R000103512|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103520|R000103520|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103529|R000103529|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103530|R000103530|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103539|R000103539|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103542|R000103542|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103548|R000103548|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103558|R000103558|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103563|R000103563|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103565|R000103565|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103571|R000103571|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103573|R000103573|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103587|R000103587|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103589|R000103589|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103590|R000103590|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103592|R000103592|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103599|R000103599|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103603|R000103603|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103610|R000103610|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103617|R000103617|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103621|R000103621|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103632|R000103632|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103646|R000103646|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103651|R000103651|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103656|R000103656|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103658|R000103658|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103664|R000103664|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103666|R000103666|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103676|R000103676|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103682|R000103682|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103684|R000103684|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103687|R000103687|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103689|R000103689|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103693|R000103693|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103701|R000103701|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103706|R000103706|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103708|R000103708|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103716|R000103716|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103718|R000103718|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103719|R000103719|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103722|R000103722|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103738|R000103738|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103740|R000103740|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103749|R000103749|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103757|R000103757|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103760|R000103760|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103767|R000103767|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
